5G01,"('SO4', 'BindingDB:\xa0 5G01', 'Ki:&nbspmin: 8.90e+7, max: 3.00e+8\xa0(nM) from 4 assay(s)')"
5G01,"('OE2', 'BindingDB:\xa0 5G01', 'Ki:&nbsp88\xa0(nM) from 1 assay(s)')"
5G03,"('SO4', 'BindingDB:\xa0 5G03', 'Ki:&nbspmin: 8.90e+7, max: 3.00e+8\xa0(nM) from 4 assay(s)')"
5G03,"('OE2', 'BindingDB:\xa0 5G03', 'Ki:&nbsp88\xa0(nM) from 1 assay(s)')"
5G0B,"('SO4', 'BindingDB:\xa0 5G0B', 'Ki:&nbspmin: 8.90e+7, max: 3.00e+8\xa0(nM) from 4 assay(s)')"
5G0B,"('CL', 'BindingDB:\xa0 5G0B', 'Ki:&nbspmin: 2.00e+8, max: 2.00e+8\xa0(nM) from 2 assay(s)')"
5G0C,"('SO4', 'BindingDB:\xa0 5G0C', 'Ki:&nbspmin: 8.90e+7, max: 3.00e+8\xa0(nM) from 4 assay(s)')"
5G1N,"('PAL', 'Binding MOAD:\xa0 5G1N', 'Kd:&nbsp17\xa0(nM) from 1 assay(s)')"
5G2N,"('6E2', 'BindingDB:\xa0 5G2N', 'IC50:&nbspmin: 0.7, max: 6.4\xa0(nM) from 3 assay(s)')"
5G3J,"('E7T', 'Binding MOAD:\xa0 5G3J', 'IC50:&nbsp63\xa0(nM) from 1 assay(s)')"
5G3M,"('9JH', 'Binding MOAD:\xa0 5G3M', 'IC50:&nbsp2200\xa0(nM) from 1 assay(s)')"
5G3N,"('X28', 'Binding MOAD:\xa0 5G3N', 'IC50:&nbsp12\xa0(nM) from 1 assay(s)')"
5G45,"('A7W', 'Binding MOAD:\xa0 5G45', 'Kd:&nbsp5.00e+5\xa0(nM) from 1 assay(s)')"
5G46,"('6VD', 'Binding MOAD:\xa0 5G46', 'Kd:&nbsp2.50e+6\xa0(nM) from 1 assay(s)')"
5G4M,"('O82', 'Binding MOAD:\xa0 5G4M', 'Kd:&nbsp1.38e+5\xa0(nM) from 1 assay(s)')"
5G4N,"('O83', 'Binding MOAD:\xa0 5G4N', 'Kd:&nbsp1.01e+5\xa0(nM) from 1 assay(s)')"
5G4O,"('O80', 'Binding MOAD:\xa0 5G4O', 'Kd:&nbsp3.72e+4\xa0(nM) from 1 assay(s)')"
5G4R,"('LF1', 'BindingDB:\xa0 5G4R', 'Kd:&nbsp0.32\xa0(nM) from 1 assay(s)')"
5G4S,"('8VI', 'Binding MOAD:\xa0 5G4S', 'IC50:&nbsp1000\xa0(nM) from 1 assay(s)')"
5G53,"('NEC', 'BindingDB:\xa0 5G53', 'Ki:&nbspmin: 1, max: 1.00e+4\xa0(nM) from 39 assay(s)')"
5G5W,"('R8C', 'BindingDB:\xa0 5G5W', 'IC50:&nbspmin: 0.13, max: 2.7\xa0(nM) from 3 assay(s)')"
5G6U,"('SGN', 'Binding MOAD:\xa0 5G6U', 'IC50:&nbsp220\xa0(nM) from 1 assay(s)')"
5GGJ,"('PNA', 'Binding MOAD:\xa0 5GGJ', 'Kd:&nbsp1.78e+7\xa0(nM) from 1 assay(s)')"
5GGK,"('MBE', 'Binding MOAD:\xa0 5GGK', 'Kd:&nbsp2.90e+5\xa0(nM) from 1 assay(s)')"
5GGL,"('6ZC', 'Binding MOAD:\xa0 5GGL', 'Kd:&nbsp1.65e+7\xa0(nM) from 1 assay(s)')"
5GGN,"('LEC', 'Binding MOAD:\xa0 5GGN', 'Kd:&nbsp2.20e+5\xa0(nM) from 1 assay(s)')"
5GGZ,"('6TN', 'Binding MOAD:\xa0 5GGZ', 'IC50:&nbsp56\xa0(nM) from 1 assay(s)')"
